brute,dp,bnb
26.998,27.006,1.008
30.999,23.006,0.192
29.008,23.005,0.274
31.992,22.006,0.181
25.993,25.004,0.259
28.991,21.997,0.292
51.017,23.004,0.347
27.99,20.997,0.285
24.998,22.998,0.999
33.009,22,0.27
27.992,21.998,0.271
30.004,23.997,0.301
31.011,21.007,0.26
32,22.997,0.999
30.007,21.998,0.283
23.994,21.996,0.273
30.001,21.997,0.271
29.001,22.995,1.006
28.005,22.003,0.268
33.008,22.997,0.3
31.004,23.007,0.349
28.003,25.005,0.276
28.999,23.005,0.274
27.996,23.997,0.998
28.994,24,0.197
29.001,24.007,0.29
30.009,22.007,0.293
28.003,21,0.269
28.998,24.006,0.274
32.007,23.007,0.2
28.997,21.998,0.271
27.999,23.005,0.27
29.989,22.007,0.987
27.011,27.006,0.268
32.004,23.003,1.006
26.01,221.995,0.302
34.002,23.993,0.275
31.998,22.998,0.28
27.001,22.996,0.333
29.997,25.007,0.278
32.963,21.994,0.204
29.001,24,0.993
26.987,23.006,1.008
28.999,23.005,0.3
24.999,22.004,0.273
32.011,23.997,1
31.007,22.999,0.26
30.999,24.99,0.287
29.008,23.007,0.263
28.998,24.998,0.281
30.998,25,0.264
32.007,23,0.182
30.042,21.992,0.286
35.004,23.005,0.282
29.999,21.998,0.306
30.007,24.005,0.334
233.101,66.049,1.001
137.032,65.024,1.002
138.024,59.013,1.006
138.02,65.015,0.984
178.043,71.015,0.998
141.022,66.291,1
131.023,65.007,1.227
132.537,65.019,0.987
158.034,65.007,1.015
140.484,65.016,0.999
154.03,65,1
142.028,65,0.998
128.019,76.01,0.999
137.018,70.016,1.199
134.021,66.021,1.29
132.048,66.009,0.992
133.022,63.001,1.246
136.509,65.007,1.232
134.023,61.011,1.015
137.03,60.018,1.393
141.033,71.017,0.999
131.033,76.014,1.282
127.021,62.012,1.002
127.021,61.008,0.998
147.037,62.012,1.293
130.052,63.004,0.999
128.977,62.024,1.013
125.022,78.009,1.001
149.027,62.015,0.999
126.019,65.009,1.001
148.035,76.02,1
127.026,68.004,1.314
129.027,68.016,0.999
128.018,67.015,1
166.04,64.015,1.214
127.025,69.018,1
130.035,64.018,1
128.029,63,1.243
127.023,66.018,0.999
131.024,61.008,1.008
134.032,91.022,0.765
134.028,63.012,1.001
132.033,62.014,1
133.028,62.876,1.007
172.04,65,0.997
138.02,63.017,1.006
132.025,62.008,1.271
205.045,62.884,1
127.017,64.016,0.993
150.02,71.014,1.004
142.019,75.721,1
152.025,64.996,1.001
129.024,62.998,1.007
136.023,64,1.257
134.024,64,1.518
155.101,62.002,1
133.034,62.999,0.994
144.019,85.02,1
140.016,64.007,1
130.015,63.553,1.001
190.044,75.02,1
130.018,65.002,0.999
133.023,70.014,1
132.018,68.002,1.53
137.023,65.999,1.012
133.017,79.009,1.003
147.019,65.006,1.006
138.017,64.014,1.264
138.032,67.001,0.994
139.023,64.001,1.007
162.035,94.017,1
137.018,66.009,1.35
147.034,65.005,1.313
138.459,68.013,0.996
136.022,68.007,1.002
151.623,67.996,1
136.016,63.996,1
136.044,64.001,1.001
135.577,63.824,1
134.026,64.027,1.56
184.041,76.019,1.292
174.066,68.997,1.015
133.566,67.013,1
137.037,68.01,0.994
151.021,65.012,1
143.026,67.005,1
138.516,67.01,1.006
144.027,79.011,1.221
151.031,65.006,1.002
144.032,74.005,1
174.031,120.014,1.376
144.021,75.019,1.001
137.025,79.011,1.002
144.026,69.008,0.999
139.011,73.014,0.985
